"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-01","0.00","3","-19",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-02","0.00","-15","-25",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-03","0.00","-5","-24",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-04","0.00","-7","-26",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-05","0.00","-17","-34",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-06","0.00","-22","-38",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-07","0.00","-13","-40",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-08","0.00","7","-22",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-09","0.00","-6","-27",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-10","0.00","-5","-27",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-11","0.00","5","-14",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-12","0.00","21","-6",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-13","0.00","0","-7",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-14","0.00","1","-18",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-15","0.00","-9","-30",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-16","0.00","5","-20",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-17","0.15","13","-4",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-18","0.00","22","2",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-19","0.25","28","16",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-20","0.00","21",,
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-21","0.00","8","-26",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-22","0.07","23","6",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-23","0.13","28","18",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-24","0.00","19","-16",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-25","0.00","-11","-40",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-26","0.00","-13","-37",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-27","0.00","-5","-24",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-28","0.00","19","-26",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-29","0.00","23","5",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-30","0.00","21","-7",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-01-31","0.09","24","-8",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-01","0.00","28","-7",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-02","0.00","33","1",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-03","0.00","37","27",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-04","0.18","38","20",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-05","0.00","35","30",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-06","0.08","32","23",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-07","0.00","35","14",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-08","0.00","32","13",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-09","0.00","23","6",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-10","0.00","29","11",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-11","0.00","26","8",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-12","0.18","36","10",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-13","0.00","23","-9",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-14","0.00","10","-13",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-15","0.00","7","-22",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-16","0.00","10","-20",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-17","0.00","25","2",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-18","0.00","13","-10",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-19","0.00","4","-16",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-20","0.00","-7","-25",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-21","0.00","-7","-34",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-22","0.00","1","-18",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-23","0.16","2","-5",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-24","0.03","-5","-13",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-25","0.00","0","-22",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-26","0.03","2","-12",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-27","0.08","35","6",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-02-28","0.00","22","1",
